Municipality Code,,nochem,croprot,covercrop,apm,noconvtill,directplanting,lowtill ,soil,drip,famlab,lowincome,associated,regtech,credit,offfarminc,fertilizer 
4212056, Palmeira ,64.21,10.70,16.81,1.00,83.79,65.48,44.41,90.64,.,91.95,54.64,79.93,36.45,22.74,33.11,76.42
4212106, Palmitos ,32.24,37.70,1.26,46.54,7.17,0.00,7.17,77.17,9.09,74.21,40.52,57.88,36.04,43.42,17.47,80.68
4212205, Papanduva ,17.07,5.80,16.95,19.39,67.50,65.74,26.85,94.61,0.00,76.63,45.51,25.60,42.09,39.35,15.99,83.67
4212239, Paraiso ,8.68,42.30,44.12,1.82,17.57,24.08,14.59,88.24,.,96.14,48.30,69.89,24.51,61.90,17.23,90.67
4212254, Passo de Torres ,21.11,36.67,8.93,2.22,74.89,93.34,27.23,95.56,0.00,58.43,19.10,65.56,22.22,23.33,16.67,88.66
4212270, Passos Maia ,39.18,33.92,25.77,1.56,0.00,0.00,0.00,95.32,.,87.18,57.89,54.78,33.92,32.16,44.05,82.37
4212304, Paulo Lopes ,94.24,5.40,32.03,2.52,71.28,49.49,27.49,30.94,0.00,84.29,34.07,12.59,9.71,1.80,31.65,30.47
4212403, Pedras Grandes ,22.32,6.53,3.65,8.84,43.75,5.00,38.75,75.58,0.00,89.98,34.71,62.32,8.21,18.74,17.26,79.17
4212502, Penha ,100.00,5.56,15.48,0.00,57.18,6.20,74.37,31.94,0.00,88.89,41.67,45.83,6.94,2.78,30.56,6.59
4212601, Peritiba ,16.62,53.71,0.00,49.36,20.00,0.00,20.00,82.61,16.67,75.66,40.73,79.54,27.62,61.64,26.60,89.35
4212700, Petrolandia ,10.92,20.25,36.08,6.87,68.65,85.41,13.78,91.29,1.83,76.65,28.82,43.44,13.50,33.74,13.25,90.08
4212809, Balneario Picarras ,44.00,2.00,47.02,2.00,21.03,29.72,28.77,52.00,10.53,83.7,20.00,38.00,6.00,24.00,6.00,57.39
4212908, Pinhalzinho ,14.94,55.03,23.13,10.06,70.24,85.51,27.40,98.11,20.00,86.4,34.26,69.97,38.99,59.43,15.09,91.54
4213005, Pinheiro Preto ,15.68,8.65,14.49,6.49,93.71,92.45,1.89,59.46,16.67,85.08,31.32,62.16,38.92,32.97,21.08,87.92
4213104, Piratuba ,30.81,33.27,4.96,11.91,48.86,39.95,39.04,76.37,25.00,85.31,53.70,54.63,24.39,46.88,22.31,86.28
4213153, Planalto Alegre ,17.13,38.95,28.06,39.50,56.87,57.42,16.48,98.07,0.00,76.88,46.42,69.89,38.40,52.49,16.85,85.61
4213203, Pomerode ,85.00,7.83,0.92,3.50,20.92,5.10,17.86,76.50,28.57,96.01,49.04,4.83,2.33,1.33,38.67,52.39
4213302, Ponte Alta ,71.10,13.55,0.60,1.79,26.13,32.88,3.60,51.41,0.00,90.89,38.93,38.36,1.28,21.23,31.97,40.72
4213351, Ponte Alta do Norte ,81.48,4.94,3.13,41.98,37.70,31.15,11.48,65.43,50.00,88.51,30.00,9.88,32.10,11.11,59.26,36.72
4213401, Ponte Serrada ,47.18,33.33,7.28,9.04,92.39,86.59,10.87,75.71,33.33,84.33,45.57,70.62,12.71,33.05,38.98,61.59
4213500, Porto Belo ,92.86,7.14,0.00,8.33,18.18,0.00,18.18,4.76,.,86.52,35.11,2.38,4.76,0.00,57.14,22.56
4213609, Porto Uniao ,41.07,32.38,8.58,12.86,86.87,73.34,17.24,92.86,18.52,90,49.73,58.45,16.55,34.76,15.00,74.56
4213708, Pouso Redondo ,34.42,11.75,3.56,5.46,21.06,21.64,9.03,80.59,5.94,68.95,30.56,45.60,23.41,23.82,27.00,67.25
4213807, Praia Grande ,38.73,1.41,7.07,0.47,2.70,0.81,1.89,84.98,0.78,77.73,38.14,41.78,29.34,37.56,19.72,68.61
4213906, Presidente Castello Branco ,22.00,41.33,3.57,23.00,94.02,91.24,3.98,86.00,.,90.65,28.88,67.00,40.67,55.00,38.00,78.57
4214003, Presidente Getulio ,32.78,26.32,26.38,13.40,46.66,57.75,13.80,70.10,0.00,79.91,30.23,55.14,8.13,35.17,20.22,46.16
4214102, Presidente Nereu ,11.76,6.81,59.54,58.20,83.67,14.90,75.36,98.76,0.00,60.5,28.30,21.05,62.23,27.24,19.81,89.69
4214151, Princesa ,15.87,51.02,29.57,9.98,48.02,77.75,24.01,75.28,0.00,87.04,44.61,47.17,26.98,68.48,13.15,92.98
4214201, Quilombo ,19.90,36.86,12.52,33.76,94.21,76.28,21.66,82.86,1.49,72.81,49.36,69.60,16.02,54.44,20.16,77.24
4214300, Rancho Queimado ,32.93,5.81,21.14,54.24,3.90,12.81,3.62,72.88,75.98,49.06,29.10,56.42,3.39,19.61,10.65,72.09
4214409, Rio das Antas ,20.12,20.33,16.46,29.16,74.32,87.37,10.11,72.07,45.16,91.36,31.58,37.78,39.84,29.77,10.27,86.90
4214508, Rio do Campo ,22.09,44.05,44.15,2.73,12.98,35.90,6.09,77.76,7.34,65.61,28.28,50.22,43.90,30.70,22.96,81.65
4214607, Rio do Oeste ,17.01,40.23,60.02,28.81,16.88,36.12,34.59,95.81,2.13,77.05,22.11,44.04,51.78,51.14,12.56,88.96
4214706, Rio dos Cedros ,58.02,2.85,35.98,35.73,40.54,37.26,16.02,45.11,3.57,91.52,40.49,44.16,1.90,8.02,47.01,45.43
4214805, Rio do Sul ,47.42,8.55,2.34,17.42,40.64,35.69,12.01,66.29,9.88,86.99,43.66,55.00,16.13,15.81,30.65,67.17
4214904, Rio Fortuna ,34.09,30.59,13.65,1.52,31.65,10.43,41.55,96.04,0.00,83.86,26.23,78.84,12.94,13.09,26.94,71.59
4215000, Rio Negrinho ,54.73,12.05,15.37,31.50,50.11,50.76,14.04,87.44,57.14,78.49,29.09,35.11,17.38,18.59,40.10,58.32
4215059, Rio Rufino ,42.62,13.77,28.37,11.48,18.50,25.20,4.72,68.52,25.00,72.85,31.42,60.33,40.66,38.36,9.51,66.01
4215075, Riqueza ,14.49,35.57,6.42,12.72,40.63,22.44,33.52,87.04,0.00,89.95,53.95,68.90,11.78,54.30,10.95,82.57
4215109, Rodeio ,56.80,5.92,1.57,10.65,37.57,13.76,25.40,59.76,3.13,96.54,45.43,32.54,3.85,15.68,37.87,54.57
4215208, Romelendia ,15.89,43.65,44.28,57.79,80.14,86.15,28.15,76.06,0.00,80,45.01,57.48,19.92,66.15,15.17,83.63
4215307, Salete ,21.93,25.96,28.20,33.80,38.73,50.74,27.70,70.62,22.22,79.35,29.88,42.45,35.01,28.57,41.45,79.14
4215356, Saltinho ,26.78,50.46,26.24,18.27,71.31,87.06,22.89,78.79,100.00,95.37,52.89,66.10,21.05,55.73,15.48,84.55
4215406, Salto Veloso ,41.51,33.02,13.54,2.36,75.26,23.20,52.06,76.42,0.00,88.37,34.42,31.60,14.62,19.34,30.66,62.15
4215455, Sangao ,60.09,1.35,0.00,0.90,0.00,0.00,0.00,65.47,0.00,81.38,50.91,72.42,6.73,21.08,63.90,36.92
4215505, Santa Cec’lia ,92.02,3.29,0.61,2.82,69.89,19.35,54.84,53.99,0.00,83.27,47.37,18.78,9.39,17.37,23.47,25.77
4215554, Santa Helena ,8.40,38.94,19.58,8.96,78.90,72.33,37.53,100.28,0.00,75,44.62,71.99,18.21,64.43,8.96,95.50
4215604, Santa Rosa de Lima ,57.14,13.41,22.75,21.32,46.50,20.97,44.68,86.59,0.00,87.5,24.59,67.69,8.79,15.16,40.66,59.79
4215653, Santa Rosa do Sul ,32.22,4.06,12.04,7.16,45.80,1.64,44.89,60.14,0.00,72.79,36.12,48.69,11.34,24.82,21.96,73.68
4215679, Santa Terezinha ,19.55,6.33,44.20,16.35,8.30,16.97,7.14,84.52,0.00,90.07,36.55,22.52,53.82,33.35,16.89,82.66
4215687, Santa Terezinha do Progresso ,26.62,19.85,21.10,32.18,55.06,51.38,19.15,94.89,50.00,87.42,55.31,53.98,15.19,42.11,30.53,63.44
4215695, Santiago do Sul ,51.74,25.87,0.48,7.46,78.49,51.08,31.72,72.64,.,100,56.59,78.61,6.97,51.74,22.89,43.96
4215703, Santo Amaro da Imperatriz ,63.99,3.37,1.63,25.39,38.02,32.81,7.29,65.54,12.35,91.91,32.49,43.78,23.83,3.63,23.58,53.26
4215752, Sao Bernardino ,37.53,56.83,16.44,11.71,30.77,32.31,10.77,87.85,0.00,84.16,44.56,72.89,11.28,62.04,25.81,85.99
4215802, Sao Bento do Sul ,51.05,10.00,35.89,15.79,72.63,93.53,28.23,73.16,9.09,90,32.26,33.68,26.84,20.00,27.89,63.11
4215901,  Sao Bonifacio ,52.05,16.83,20.74,46.77,38.58,13.12,32.28,88.65,16.67,82.57,39.90,42.66,9.00,9.59,31.12,61.78
4216008,  Sao Carlos ,38.23,51.17,21.38,47.30,68.29,73.39,26.61,83.59,28.57,87.18,39.20,62.90,33.84,50.36,22.73,83.03
4216057,  Sao Cristovao do Sul ,81.55,6.80,2.41,25.24,59.46,8.11,56.76,8.74,0.00,90.37,45.19,43.69,8.74,11.65,33.01,34.34
4216107,  Sao Domingos ,11.71,46.58,26.91,26.58,94.26,95.14,4.24,81.32,50.00,76.43,40.25,77.89,26.84,63.82,20.66,74.97
4216206,  Sao Francisco do Sul ,89.66,21.84,10.26,17.24,26.47,5.88,29.41,36.78,7.14,89.47,34.65,28.74,16.09,9.20,50.57,39.32
4216255,  Sao Joao do Oeste ,24.63,62.75,1.16,60.66,39.62,1.26,38.36,92.16,0.00,93.02,32.82,74.51,32.48,54.04,10.54,93.81
4216305,  Sao Joao Batista ,63.06,16.11,0.00,1.11,26.55,1.13,25.42,37.78,10.00,86.98,40.93,31.39,19.72,8.33,33.89,40.60
4216354,  Sao Joao do Itaperiœ ,33.60,1.05,15.35,1.57,78.57,61.30,31.56,67.98,3.95,76.45,28.24,38.85,36.22,24.15,21.00,62.17
4216404,  Sao Joao do Sul ,28.52,5.52,19.97,5.18,15.71,2.69,14.90,65.28,0.37,66.53,40.94,75.30,28.52,30.65,20.80,78.13
4216503,  Sao Joaquim ,47.66,1.80,10.87,16.35,5.09,0.09,10.19,54.27,33.33,88.4,27.57,58.29,39.24,23.68,42.31,63.33
4216602,  Sao Jose,90.13,5.58,0.32,2.58,82.39,0.00,82.39,35.19,0.00,85.62,28.08,10.30,3.00,4.29,52.79,41.67
4216701,  Sao  Jose do Cedro ,15.31,38.39,15.95,9.63,87.41,89.17,9.84,87.78,0.00,84.22,43.90,44.57,19.27,60.17,10.78,85.34
4216800,  Sao  Jose do Cerrito ,59.82,12.55,1.07,7.90,27.97,21.37,15.34,47.86,23.08,82.72,57.60,59.71,4.00,31.86,23.15,62.49
4216909,  Sao Lourenco do Oeste ,51.32,47.84,11.61,6.13,82.90,86.02,13.31,84.10,4.55,87.84,49.53,55.26,11.96,54.28,18.93,82.17
4217006,  Sao Ludgero ,28.70,23.46,20.54,25.31,36.03,8.10,40.49,86.73,6.52,77.03,28.46,71.60,28.70,16.05,30.25,72.77
4217105,  Sao Martinho ,36.19,21.67,12.38,32.38,34.62,9.20,29.54,101.19,0.00,98.19,27.86,49.76,8.57,12.86,18.10,73.28
4217154,  Sao Miguel da Boa Vista ,22.52,56.17,12.75,65.38,54.18,58.23,12.66,73.12,11.11,78.92,52.69,61.26,8.72,47.46,16.71,83.00
4217204,  Sao Miguel do Oeste ,30.36,39.09,35.06,11.17,77.50,80.09,23.47,83.45,33.33,91.54,38.73,67.82,11.57,47.82,17.46,78.84
4217253,  Sao Pedro de Alcantara ,90.33,1.65,0.83,0.24,86.32,58.95,27.37,53.54,4.55,96.29,37.25,7.55,2.36,1.65,37.03,34.30
4217303, Saudades ,24.48,46.95,10.75,19.24,70.09,65.68,37.58,100.00,0.00,93.55,39.84,71.52,28.00,60.48,13.90,90.55
4217402, Schroeder ,57.35,6.37,0.84,7.35,20.48,6.02,18.07,26.47,7.14,81.35,37.24,34.31,11.27,8.82,19.61,61.51
4217501, Seara ,29.72,45.82,11.40,31.08,78.43,71.91,24.30,75.38,33.33,86.2,37.40,73.94,30.76,60.72,20.88,79.75
4217550, Serra Alta ,18.28,32.26,9.59,52.69,80.60,86.37,19.86,85.81,100.00,84.03,44.53,53.98,48.82,47.74,24.09,81.95
4217600, Sideropolis ,53.73,7.84,2.37,10.20,36.57,33.71,7.43,61.57,0.00,79.22,36.43,50.20,36.08,18.43,13.73,71.53
4217709, Sombrio ,24.03,2.54,13.33,1.86,30.77,1.35,32.31,49.24,2.13,33.33,25.04,54.48,43.32,42.13,13.87,85.27
4217758, Sul Brasil ,18.94,44.81,3.63,34.43,69.02,89.22,7.06,94.54,0.00,92.16,47.23,66.67,7.47,50.27,14.39,86.33
4217808, Taio,19.47,31.68,18.17,19.10,20.14,44.30,4.81,72.36,3.64,73.39,31.93,67.03,21.67,36.64,22.77,80.56
4217907, Tangara ,20.21,17.25,26.88,29.21,96.11,93.47,5.75,84.81,57.14,83.36,30.79,52.64,24.07,49.29,18.02,81.92
4217956, Tigrinhos ,14.72,53.05,60.91,29.19,56.20,36.71,60.00,101.27,.,96.81,55.37,65.99,5.08,41.88,9.14,85.85
4218004, Tijucas ,55.28,1.63,6.79,6.50,17.28,11.11,6.17,75.61,14.29,91.79,32.84,47.97,11.38,9.76,23.58,47.53
4218103, Timbe do Sul ,21.43,1.79,7.37,18.65,34.28,1.42,37.12,88.69,0.00,50,22.71,82.34,52.78,26.98,11.71,81.40
4218202, Timbo ,77.56,14.16,7.28,14.16,19.64,8.04,16.07,34.64,1.30,96,39.92,13.29,6.32,4.58,50.54,50.00
4218251, Timbo Grande ,90.55,3.23,0.18,0.69,22.80,19.17,5.70,84.10,50.00,84.73,38.99,26.73,1.15,8.53,45.16,24.18
4218301, Tres Barras ,68.11,13.00,4.68,8.98,45.95,45.50,5.86,47.99,20.00,75.85,42.30,18.27,8.67,10.53,50.46,50.49
4218350, Treviso ,63.87,8.39,10.71,37.42,14.14,7.07,9.09,30.32,0.00,88.16,31.88,49.03,36.77,12.26,54.19,60.71
4218400, Treze de Maio ,22.17,9.20,15.85,7.08,17.89,15.45,25.20,79.48,4.17,85.11,35.40,70.99,18.63,37.03,20.75,83.93
4218509, Treze Tilias ,21.74,50.43,15.30,4.78,99.09,98.63,0.91,9.13,.,89.67,20.66,65.65,21.74,39.57,13.91,82.84
4218608, Trombudo Central ,32.26,16.49,22.78,7.17,16.23,22.37,8.77,83.87,39.39,84.89,36.88,44.44,12.19,26.16,25.81,78.80
4218707, Tubarao ,69.17,13.33,3.41,4.50,48.00,1.82,50.55,24.33,8.51,91.28,42.34,26.33,5.83,8.00,22.50,43.83
4218756, Tunapolis ,11.06,61.21,16.16,29.28,82.66,72.14,41.18,66.51,20.00,83.63,32.58,75.55,49.84,63.40,24.61,94.03
4218806, Turvo ,13.79,1.64,2.94,18.56,15.58,5.03,27.30,73.23,0.00,57.83,23.06,80.62,42.53,49.43,26.27,87.06
4218855, Uniao do Oeste ,14.07,35.00,6.00,73.70,83.88,80.58,23.35,86.85,0.00,88.89,49.82,58.52,33.33,56.48,12.96,82.36
4218905, Urubici ,48.71,16.74,5.54,4.11,5.45,3.31,5.25,72.30,12.93,93.19,38.72,56.93,22.22,24.35,20.70,61.76
4218954, Urupema ,39.25,12.45,0.26,7.55,8.37,1.32,8.37,57.74,0.00,74.77,28.75,68.68,24.53,39.25,14.34,67.01
4219002, Urussanga ,59.37,4.50,2.50,6.24,26.94,3.04,32.64,52.30,10.34,90.64,37.78,61.31,18.22,10.54,26.71,54.49
4219101, Vargeao ,22.69,40.00,1.52,20.77,82.97,81.16,2.17,97.69,50.00,76.41,42.11,77.69,39.62,60.38,15.00,77.58
4219150, Vargem ,32.39,20.35,1.30,7.79,76.39,84.26,3.01,89.38,.,85.69,55.91,58.76,9.38,45.13,29.20,63.26
4219176, Vargem Bonita ,40.10,30.69,0.00,8.42,87.50,64.42,25.00,79.21,.,95.79,20.83,45.54,17.82,42.57,10.89,31.70
4219200, Vidal Ramos ,5.44,10.30,34.53,11.00,51.89,12.40,49.60,95.25,2.35,70.99,25.93,49.88,27.89,40.28,7.75,94.95
4219309, Videira ,19.95,42.24,26.77,16.95,90.41,87.81,5.34,88.92,37.14,86.21,28.43,67.28,44.20,42.24,16.04,81.53
4219358, Vitor Meireles ,22.99,19.84,52.75,33.02,45.56,27.51,45.27,73.75,0.00,69.13,26.27,46.91,42.82,44.69,17.15,77.31
4219408, Witmarsum ,16.43,24.44,62.07,33.88,20.69,41.78,21.70,96.51,0.00,70.44,30.45,67.56,37.58,49.69,18.28,88.10
4219507, Xanxere ,40.00,25.61,5.83,5.96,94.18,93.17,5.42,80.88,18.18,85.55,33.28,54.21,20.00,38.25,24.39,72.78
4219606, Xavantina ,21.36,49.24,0.99,5.00,96.27,91.69,5.59,25.15,50.00,92.17,26.99,73.48,38.94,77.73,8.03,92.22
4219705, Xaxim ,35.31,34.74,6.88,7.37,83.08,63.76,32.10,75.60,20.00,87.47,40.30,76.27,27.66,42.20,23.54,77.13
4219853, Zortea ,50.42,22.69,0.58,14.29,85.95,76.86,9.92,86.55,.,96.71,44.74,18.49,21.01,14.29,16.81,57.80
